h3_cell,location_name,lat,lon,top_violation_details
8861892eadfffff,"100 Feet Road, J Muniswamy Reddy Layout, Banaswadi",13.013347516666665,77.64660211666667,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892eb1fffff,"Tannery Road, AK Colony, Devarajeevana Halli",13.006937388679244,77.61385413018868,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892eb5fffff,"Vinoba Nagar Main Road, Mysore Income Tax Layout, Kadugondanahalli",13.018681179999998,77.618604895,WRONG PARKING (112) | PARKING IN A MAIN ROAD (107) | NO PARKING (113)
8861892eb7fffff,"Shampura Main Road, Tiger Tippu Circle, Kadugondanahalli",13.01741,77.61296926666667,NO PARKING (113)
8861892eb9fffff,"Lazar Road, Government Police Quarters, Frazer Town",12.999905831372548,77.62006420653594,WRONG PARKING (112) | NO PARKING (113) | DEFECTIVE NUMBER PLATE (116)
8861892ebbfffff,"Robertson Road, Sri Ramakrishnappa Circle, Frazer Town",12.999688905962733,77.61157843316771,NO PARKING (113) | WRONG PARKING (112) | PARKING ON FOOTPATH (105)
8861892ebdfffff,"Lingarajapuram Flyover, Old Bagalur Layout, Lingarajapuram",13.007399018548387,77.6219507233871,NO PARKING (113) | WRONG PARKING (112) | DOUBLE PARKING (109)
8861892ec1fffff,"Dr APJ Abdul Kalam Marg, Sir CV Raman Circle, CV Raman Nagar",12.979648984033616,77.65023037731093,NO PARKING (113) | WRONG PARKING (112) | DEFECTIVE NUMBER PLATE (116)
8861892ec3fffff,"Chinmaya Mission Hospital Road, KFC Circle, Indiranagar",12.97857603967416,77.64008468737474,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
8861892ec7fffff,"Sir CV Raman Hospital Road, George Thangiah Complex, Michaelpalya",12.98430748958665,77.64651691186523,WRONG PARKING (112) | NO PARKING (113) | PARKING IN A MAIN ROAD (107)
8861892ec9fffff,"Jeevan Bhima Nagar Main Road, Indian Airlines Staff Quarters, Indiranagar",12.970178043939493,77.65237604903524,NO PARKING (113) | PARKING IN A MAIN ROAD (107) | WRONG PARKING (112)
8861892ecbfffff,"Domlur Inner Ring Road, HAL Stage 2, Indiranagar",12.970243744122554,77.64465615496204,NO PARKING (113) | WRONG PARKING (112) | PARKING IN A MAIN ROAD (107)
